Key,Korean,English
Upgrade.Discription.HP,체력을 업그레이드 개수 x {0}% 만큼 올려준다.,Upload Your Health By Upgrade X {0}%.
Upgrade.Discription.HEAL,모든 회복을 업그레이드 개수 x {0}% 만큼 올려준다.,Up All Recovery Is Upgraded X {0}%.
Upgrade.Discription.COOLTIME,모든 스킬 쿨타임을 업그레이드 개수 x {0}% 만큼 줄여준다.,Reduce All Skill Cooldings By Upgrade X {0}%.
Upgrade.Discription.AREA,모든 스킬 범위를 업그레이드 개수 x {0}% 만큼 올려준다.,Up All The Skill Range Is Upgraded X {0}%.
Upgrade.Discription.ASPEED,모든 투사체 속도를 업그레이드 개수 x {0}% 만큼 올려준다.,Up All Projectile Speeds Upgrade X {0}%.
Upgrade.Discription.DURATION,모든 스킬 지속시간을 업그레이드 개수 x {0}% 만큼 올려준다.,Up All The Duration Of All Skills Upgrades X {0}%.
Upgrade.Discription.AMOUNT,모든 스킬 개수를 업그레이드 개수 x {0}개 만큼 추가함.,Add All The Number Of Skills Upgrades X {0}.
Upgrade.Discription.MSPEED,이동속도를 업그레이드 개수 x {0}% 만큼 올려준다.,Up The Number Of Mobility Upgrades X {0}%.
Upgrade.Discription.MAGNET,아이템 획득 거리가 업그레이드 개수 x {0}% 만큼 올려준다.,Item Acquisition Distance Is Upgraded By {0}%.
Upgrade.Discription.LUCK,행운을 업그레이드 개수 x {0}% 만큼 올려준다.,Up Luck Is Upgraded By {0}%.
Upgrade.Discription.GROWTH,경험치 획득량과 원소충전효율을 업그레이드 개수 x {0}% 만큼 올려준다.,Increase The Amount Of Experience Acquisition And Elemental Charging Efficiency By The Number Of Upgrades X {0}%.
Upgrade.Discription.GREED,게임 중 획득하는 모라와 원석 획득량을 업그레이드 개수 x {0}% 만큼 올려준다.,Upgrade The Amount Of Mora And Gemstone Acquired During The Game X {0}%.
Upgrade.Discription.CURSE,"적의 공격력, 체력, 속도, 생성 주기가 업그레이드 개수 x {0}%오름.","Enemy Attack Power, Health, Speed, And Generation Cycle Upgrade Number X {0}%Climbed."
Upgrade.Discription.REBIRTH,치명적인 공격을 받았을 경우 업그레이드 개수 x {0}회 부활하고 3초동안 무적이 됨.,"If You Have A Fatal Attack, The Number Of Upgrades Will Be Revived X {0} And Become Invincible For 3 Seconds."
Upgrade.Discription.REROLL,업그레이드 개수 x {0}회 재선택 가능.,Upgrade Number X {0} Re -Election.
Upgrade.Discription.SKIP,업그레이드 개수 x {0}회 선택을 건너뛸 수 있음.,Upgrade Number X {0} Can Be Skipped.
Upgrade.Skill.Damage,대미지가 {0:P0} 만큼 증가,Damage increases by {0:P0}
Upgrade.Skill.Penetrate,관통이 {0}만큼 증가,Penetration increases by {0}
Upgrade.Skill.Area,범위가 {0:P0} 만큼 증가,Range increases by {0:P0}
Upgrade.Skill.Duration,지속시간이 {0:P0} 만큼 증가,Duration increases by {0:P0}
Upgrade.Skill.Speed,속도가 {0:P0} 만큼 증가,Speed increases by {0:P0}
Upgrade.Skill.KnockBack,넉백이 {0:P0} 만큼 증가,Knockback increases by {0:P0}
Upgrade.Skill.Magnet,끌어당기는 범위가 {0:P0} 만큼 증가,Magnet range increases by {0:P0}
Upgrade.Skill.MagnetSpeed,끌어당기는 속도가 {0:P0} 만큼 증가,Magnet speed increases by {0:P0}
Upgrade.Skill.Amount,스킬 개수가 {0} 만큼 증가,Skill count increases by {0}
Upgrade.Skill.SkillTick,스킬 대미지 주기가 {0} 만큼 감소,Skill damage interval decreases by {0}
Upgrade.Skill.CoolTime,재사용 대기시간이 {0:P0} 만큼 감소,Cooldown time decreases by {0:P0}
Upgrade.Skill.HealPer,회복량이  {0:P0} 만큼 증가,Heal percentage increases by {0:P0}
Upgrade.Skill.Burst,원소폭발 {0}을 획득,Get Elemental burst {0}
Upgrade.Skill.SheildPer,보호막 체력이  {0:P0} 만큼 증가,Increase Sheild helath {0:P0}
SkillDamageStat.ATK,공격력 {0}%,ATK {0}%
SkillDamageStat.ARMOR,방어력 {0}%,ARMOR {0}%
SkillDamageStat.HP,체력 {0}%,HEALTH {0}%
SkillDamageStat.ELEMENT_MASTERY,원소마스터리 {0}%,Elemental Mastery {0}%
